class,fpr,tpr
healthy,0.5051546391752577,0.9885057471264368
healthy,0.5154639175257731,0.9885057471264368
healthy,0.5429553264604811,0.9885057471264368
healthy,0.5429553264604811,1.0
healthy,1.0,1.0
moderate_stress,0.0,0.0
moderate_stress,0.0,0.004739336492890996
moderate_stress,0.0,0.07582938388625593
moderate_stress,0.005988023952095809,0.07582938388625593
moderate_stress,0.005988023952095809,0.1943127962085308
moderate_stress,0.011976047904191617,0.1943127962085308
moderate_stress,0.011976047904191617,0.22748815165876776
moderate_stress,0.011976047904191617,0.24170616113744076
moderate_stress,0.011976047904191617,0.24644549763033174
moderate_stress,0.017964071856287425,0.24644549763033174
moderate_stress,0.017964071856287425,0.2938388625592417
moderate_stress,0.017964071856287425,0.3033175355450237
moderate_stress,0.017964071856287425,0.3222748815165877
moderate_stress,0.023952095808383235,0.3222748815165877
moderate_stress,0.023952095808383235,0.35545023696682465
moderate_stress,0.029940119760479042,0.35545023696682465
moderate_stress,0.029940119760479042,0.38388625592417064
moderate_stress,0.03592814371257485,0.38388625592417064
moderate_stress,0.03592814371257485,0.3981042654028436
moderate_stress,0.041916167664670656,0.3981042654028436
moderate_stress,0.041916167664670656,0.4028436018957346
moderate_stress,0.04790419161676647,0.4028436018957346
moderate_stress,0.04790419161676647,0.4928909952606635
moderate_stress,0.05389221556886228,0.4928909952606635
moderate_stress,0.05389221556886228,0.5402843601895735
moderate_stress,0.05389221556886228,0.5497630331753555
moderate_stress,0.05389221556886228,0.6066350710900474
moderate_stress,0.059880239520958084,0.6066350710900474
moderate_stress,0.059880239520958084,0.6587677725118484
moderate_stress,0.0718562874251497,0.6587677725118484
moderate_stress,0.0718562874251497,0.6919431279620853
moderate_stress,0.07784431137724551,0.6919431279620853
moderate_stress,0.07784431137724551,0.7014218009478673
moderate_stress,0.08982035928143713,0.7014218009478673
moderate_stress,0.08982035928143713,0.7156398104265402
moderate_stress,0.09580838323353294,0.7156398104265402
moderate_stress,0.09580838323353294,0.7393364928909952
moderate_stress,0.12574850299401197,0.7393364928909952
moderate_stress,0.12574850299401197,0.7582938388625592
moderate_stress,0.1317365269461078,0.7582938388625592
moderate_stress,0.1317365269461078,0.7725118483412322
moderate_stress,0.1377245508982036,0.7725118483412322
moderate_stress,0.1377245508982036,0.7914691943127962
moderate_stress,0.1497005988023952,0.7914691943127962
moderate_stress,0.1497005988023952,0.7962085308056872
moderate_stress,0.15568862275449102,0.7962085308056872
moderate_stress,0.15568862275449102,0.8056872037914692
moderate_stress,0.16766467065868262,0.8056872037914692
moderate_stress,0.16766467065868262,0.8104265402843602
moderate_stress,0.17365269461077845,0.8104265402843602
moderate_stress,0.17365269461077845,0.8530805687203792
moderate_stress,0.17964071856287425,0.8530805687203792
moderate_stress,0.17964071856287425,0.8578199052132701
moderate_stress,0.19161676646706588,0.8578199052132701
moderate_stress,0.19161676646706588,0.8625592417061612
moderate_stress,0.19760479041916168,0.8625592417061612
moderate_stress,0.19760479041916168,0.8672985781990521
moderate_stress,0.20359281437125748,0.8672985781990521
moderate_stress,0.20359281437125748,0.8767772511848341
moderate_stress,0.20958083832335328,0.8767772511848341
