episode,r0_mean,r1_mean,r2_mean,r3_mean
195,1.0,0.6972173694549681,1.0,1.0
196,1.0,0.6700075449972724,1.0,1.0
197,1.0,0.75451635622581,1.0,1.0
198,1.0,0.7249253211534535,1.0,1.0
199,1.0,0.7378301554051635,1.0,1.0
200,1.0,0.7328559990898377,1.0,1.0
201,1.0,0.6765807299085524,1.0,1.0
202,1.0,0.7126743938085143,1.0,1.0
203,1.0,0.6839997754043183,1.0,1.0
204,1.0,0.7223613876721107,1.0,1.0
205,1.0,0.6652451262344548,1.0,1.0
206,1.0,0.7113704118353531,1.0,1.0
207,1.0,0.7123078630051524,1.0,1.0
208,1.0,0.714727072736993,1.0,1.0
209,1.0,0.7569620775004494,1.0,1.0
210,1.0,0.7257250974724571,1.0,1.0
211,1.0,0.717804620054219,1.0,1.0
212,1.0,0.7328469759966781,1.0,1.0
213,1.0,0.7682926017469726,1.0,1.0
214,1.0,0.7240076004260743,1.0,1.0
215,1.0,0.7472560224308975,1.0,1.0
216,1.0,0.6936318874883283,1.0,1.0
217,1.0,0.686699117975675,1.0,1.0
218,1.0,0.7197580589233913,1.0,1.0
219,1.0,0.709653515082838,1.0,1.0
220,1.0,0.7218990749140305,1.0,1.0
221,1.0,0.7258907222180219,1.0,1.0
222,1.0,0.7199647271122108,1.0,1.0
223,1.0,0.7073149190055694,1.0,1.0
224,1.0,0.7519570526587749,1.0,1.0
225,1.0,0.7055750352845145,1.0,1.0
226,1.0,0.7243380514990313,1.0,1.0
227,1.0,0.7210296079962667,1.0,1.0
228,1.0,0.7381466471970828,1.0,1.0
229,1.0,0.6728770578099248,1.0,1.0
230,1.0,0.6853886949968772,1.0,1.0
231,1.0,0.6994422346074247,1.0,1.0
232,1.0,0.746257459721518,1.0,1.0
233,1.0,0.7211346181582572,1.0,1.0
234,1.0,0.6870296494130852,1.0,1.0
235,1.0,0.7528445522468179,1.0,1.0
236,1.0,0.7080315280376597,1.0,1.0
237,1.0,0.7445530184744044,1.0,1.0
238,1.0,0.759065143065726,1.0,1.0
239,1.0,0.7189779457172218,1.0,1.0
240,1.0,0.737775994127131,1.0,1.0
241,1.0,0.7002756611551564,1.0,1.0
242,1.0,0.7103478842316633,1.0,1.0
243,1.0,0.6943339687852409,1.0,1.0
244,1.0,0.7540186778002796,1.0,1.0
245,1.0,0.7226072454989672,1.0,1.0
246,1.0,0.7034799492087036,1.0,1.0
247,1.0,0.7067804400407879,1.0,1.0
248,1.0,0.6849911450618349,1.0,1.0
249,1.0,0.714272846762554,1.0,1.0
250,1.0,0.7232503753080076,1.0,1.0
251,1.0,0.7221653999318243,1.0,1.0
252,1.0,0.7375988676352202,1.0,1.0
253,1.0,0.6688449360246659,1.0,1.0
254,1.0,0.7367964745922444,1.0,1.0
255,1.0,0.7263701833413239,1.0,1.0
256,1.0,0.7410855524135685,1.0,1.0
257,1.0,0.6677763874580741,1.0,1.0
258,1.0,0.6512745573799714,1.0,1.0
259,1.0,0.7230773915446104,1.0,1.0
260,1.0,0.6935868005591226,1.0,1.0
261,1.0,0.7565558380664937,1.0,1.0
262,1.0,0.7570500525268292,1.0,1.0
263,1.0,0.6928438090940496,1.0,1.0
264,1.0,0.7256539249503815,1.0,1.0
265,1.0,0.7293850778500423,1.0,1.0
266,1.0,0.6965258208063968,1.0,1.0
267,1.0,0.6540183668194532,1.0,1.0
268,1.0,0.7453314030969201,1.0,1.0
269,1.0,0.7374961988867825,1.0,1.0
270,1.0,0.7355607274445781,1.0,1.0
271,1.0,0.6936018385362809,1.0,1.0
272,1.0,0.7406638919464335,1.0,1.0
273,1.0,0.7284071378352454,1.0,1.0
274,1.0,0.7193422366455996,1.0,1.0
275,1.0,0.7166249315321183,1.0,1.0
276,1.0,0.6965388202984609,1.0,1.0
277,1.0,0.718582254355228,1.0,1.0
278,1.0,0.7358828436178309,1.0,1.0
279,1.0,0.7027778630410703,1.0,1.0
280,1.0,0.7604301783103828,1.0,1.0
281,1.0,0.7436423788417365,1.0,1.0
282,1.0,0.7201548407343953,1.0,1.0
283,1.0,0.684033857545753,1.0,1.0
284,1.0,0.7400412568519419,1.0,1.0
285,1.0,0.7044746199334871,1.0,1.0
286,1.0,0.7448934902174289,1.0,1.0
287,1.0,0.7752258649215668,1.0,1.0
288,1.0,0.7067231939829652,1.0,1.0
289,1.0,0.7575739837535458,1.0,1.0
290,1.0,0.733296179049449,1.0,1.0
291,1.0,0.6735714736074339,1.0,1.0
292,1.0,0.7304488362223015,1.0,1.0
293,1.0,0.7218255909744107,1.0,1.0
294,1.0,0.7062610475810837,1.0,1.0
295,1.0,0.6830415556411111,1.0,1.0
296,1.0,0.7182839432814937,1.0,1.0
297,1.0,0.6935328750287418,1.0,1.0
298,1.0,0.7321901888078488,1.0,1.0
299,1.0,0.7039685113423902,1.0,1.0
